0review_id,1review_title,2review_text,3review_rating,4review_date,5visit_date,6reviewer_country,7reviewer_level
review_473791940,“Awesome ”,"Best ride Transformer 4DRoller coaster Best Many more rides better take fast pass, so you can fully enjoy all the rides.
",5,9 April 2017,February 2017,NoCountry,02
review_473775052,“I might be spoiled”,"I visited Universal Studios Singapore on a Monday, hoping there would not be much of a crowd. Instead, I discovered that everywhere in the park was very busy. I was only able to ride 3 rides in a 7 hour period, because I had to wait an average of an hour plus for the rides I did ride. I feel spoiled, because I am used to Universal Studios Orlando, which is a bigger park. The Singapore version felt like it was half the size and therefore, a little bit disappointing.
",3,9 April 2017,April 2017,Taiwan,06
review_473753477,“Full of fun and adventure”,"Best thing to do when you visit to Singapore. Enjoyed the goose bumps slides like HUMAN, CYLON and MUMMY rides. Best among all was the TRANSFORMER ride, it was one of kind experience. Also light camera & action ride is good to get interim of cinematography. Sad part was long ques and waiting time for each ride suggest to go for express pass to enjoy all the rides in time. keep watch on show timings do not miss the water show it was thrilling to watch entire action in front of your eyes. lot of dining options yet very limited choices for vegetarian.
",5,9 April 2017,April 2017,India,02
review_473735656,“good look but scary rides”,"when we entered the studios we first went to Madagascar. It was exciting we have to board a boat and you will go inside a broken part of a ship inside there will be the robotic characters and then you will be out of the ship. then we went to a roller coaster when it climbs the track it will be slow but when it will go down it will be superfast it was a short ride. this studio is mostly made for kids and teenagers but be careful that some rides are a little scary.
",3,9 April 2017,March 2017,India,01
review_473724108,“You don't need an express pass!”,"I seriously think that you don't need an express pass if you don't mind waiting for 45 min~ I love the concept where the whole themepark are filled with fans, water station, keep you hydrated and chill although the weather is really hot! Must try: human vs cylon, transformer, lights camera actions.. The fireworks on every Saturday not really impressive but worth staying till late night if you don't mind~
",5,9 April 2017,April 2017,NoCountry,03
review_473710656,“Must do in Singapore”,"I had discounted Universal Studios in my first 3 visits to Singapore, assuming it's just movie sets. However, this time I did decide to go and was amazed by the quality of rides. Specifically, Transformers and Mummy experience is something you just can't miss!
",5,9 April 2017,March 2017,India,06
review_473613041,“Full of fun and adventure”,"Have visited here twice. And I must say each time I was so impressed.Some tricks you may wanna consider before going:Go on weekdays. Weekends are hell crowded and the queue time is about 120 min for each ride especially in the morning. You can simply buy the express pass, still facing lines but shorter.Be there at 10 AM to get the most out of it.Plan your day ahead, prioritize the rides you want to do the most as you will have short of time. My suggestions are Transformers, roller coaster (Cylon and Human), Revenge of the Mummy, Jurassic Park Rapids adventure. You can simply forget about Madagascar and Shrek 4D if you do not have enough time. But if you looking for something a bit relaxing, go for them.There are several shows during the day, not all are good but worth watching if you have time.The queues will be shorter in the evening. We got the chance to ride Cylon 3 times and Revenge of the Mummy 2. Food is of ver low quality and pricey! (I am not sure if eating will be a good idea at all before riding the high-speed rides!) Anyhow, that is the only thing you get to eat there. You can take some chocolate or granola bars or try some ice cream there (Ben & Jerry`s at Far Far Away) and then later eat dinner in Sentosa. (Chillis restaurant and some local food nearby). All the rides will be closed at 7 PM.Enjoy and have lots of fun.
",5,8 April 2017,April 2017,Singapore,03
review_473583315,“Mostly for kids”,"We went with a group of friends 20-30s and had a good time with them but the park is definitely more for children. There are a couple extreme rides like Human, but with relatively long waits (40 min and it was a slowish hot day). Transformers was my favorite with 3D glasses and special effects but makes many people feel sick.
",3,8 April 2017,March 2017,United States,06
review_473560986,“The Greatest Adventure On The Movies”,"It was an awesome trip and the place feels like Hollywood ! The price of the things there are although pricey ...
",5,8 April 2017,April 2017,Singapore,01
review_473556585,“The excellent place beautiful and not expensive”,"Your service is so good, staff is quite friendly, helpful and he speak English well.We have visited Gardens by the Bay and it surrounding.
",4,8 April 2017,August 2016,NoCountry,03
review_473556585,“The excellent place beautiful and not expensive”,"Your service is so good, staff is quite friendly, helpful and he speak English well.We have visited Gardens by the Bay and it surrounding.
",4,8 April 2017,August 2016,NoCountry,03
review_473526984,“Brilliant!”,"We are a young family of 6 and have visited a number of parks across Asia and this was by far our best experience. The park is smaller than Universal Osaka and whilst Disney HK is magical this park is very well organized. Our longest queue was 40 mins which is unheard of at this type of park. We had a brilliant day!
",5,8 April 2017,April 2017,NoCountry,02
review_473518349,“A fun small park with poor maintanence”,"My partner and I have visited many other Universal Studios parks around the world and wanted to give this one a go while on our honeymoon. The park itself is surprisingly small and most of the themed lands merge in to one another. The ride selection was okay for a thrill seeker, but might be less so for young families. Most of the rides during our visit were open with the odd ride down for renovations which is completely understandable. One thing that was really noticeable though, especially when comparing the park to its US equivalents was that the park was poorly maintained. Most of the rides paint jobs were flaky and the theming and props looked like they had been through a hurricane. I really wasn't expecting this from such a new park and for me, it really showed the low level of commitment to maintain elements when comparing it to a Disney theme park.Would I come here again? Probably not. But if you're not really fussed about how a park is kept, and want a small handful of thrilling rides, go for it.
",3,8 April 2017,April 2017,NoCountry,02
review_473502462,"“Very ""touristy""”","Definitely catering to the tourist crowd. Was very impressed that all the que's for rides had ceiling fans to combat the heat. The lines were not that long, either (max wait time 40min) Blown away by Anient Egypt...my favourite part of the whole park. Very clean, lots of seats and shady places to sit.
",4,8 April 2017,April 2017,Australia,03
review_473498363,“Loved it! Had lots of fun with family ”,"A great place to spend one full day and evening! Have a lot of amusement activities for all ages. The tickets allows unlimited entry for all the rides and shows. Spend some time researching the rides and shows that one likes before reaching, as some may have long queues. We went there on a weekday and found that the queues were empty in the evening to leisurely enjoy the place. Must visit in Singapore.
",5,8 April 2017,March 2017,NoCountry,06
review_473479390,“Friday Family Day”,"Fun day out for all the family. Tips - don't go on weekend or public holiday, get there early & purchase priority / express pass.
",4,8 April 2017,April 2017,NoCountry,02
review_473393726,“Must visit”,"Hell lot to walk.Gear up comfortably. Carry abundant snacks with you. A must pack is the selfie stick.It can rain any moment in Singapore, do not forget to carry an umbrella or raincoat. In case of rain, all the attractions are temporarily withdrawn for the safety of the visitors. So please do have the time margin in mind. Do not pack your schedule.Arrive by 10.00 am to experience the most of it. Universal is best to be visited on a weekday to avoid the rush. Even on a weekday, buy an express pass. Depending on your group, you can plan your visit. More time spent on kids activities if with kids. Must visits: Battlestar Galactica Human & Cylon Accelerator Transformers Jurassic park rapids adventure (wet ride) Live water show (water world)Madagascar, Shrek & Puss in the boots are very well planned. Even for an adult it is a relaxing experience.Live shows keep happening at various times. Plan as you please.After each ride, you exit at a store. Do not forget to pick goodies.The major rides need you to place your stuff in lockers. In case you are more of an adventure person, can select multiple entry pass.
",5,7 April 2017,February 2017,India,03
review_473359493,“A day of fun and excitement.”,"Roller coasters, shows and souvenirs. It is worth getting the express wrist band if you don't like waiting in long queues (there are still queues, just much shorter)
",5,7 April 2017,March 2017,NoCountry,03
review_473355529,“Memories kept in our hearts”,"The experience in USS is moment to be cherished with my family we were 6 adults and 1 child. Even though It was raining when we went there,but it didn't stop us in enjoying the different zones.. each zone makes as feel like we are in a story book that we used to read when we are kids. Memories in USS will be cherished in our hearts.
",5,7 April 2017,May 2016,Philippines,0
review_473350802,"“Loved it, my whole family loved it!”","This is a great park with plenty to do. My 18 month old was kept busy all day. The 2 roller coasters are incredible and I couldn't get enough of them. Good mix of thrill rides and family rides and the theming is great. Much better than any of the pathetic theme parks we have here in Australia.
",5,7 April 2017,April 2017,Australia,05
review_473345315,“Nice place”,"It's my 1st time here. This is magnificent! Everything is so well placed and we enjoyed so much! Unfortunately, due to the rain, we did not continue or complete the tour here. Hope will have chance to visit again.
",5,7 April 2017,April 2017,Singapore,03
review_473333699,“Sentosa universal Singapore ”,"This was a nicely done park for its themes. Maybe I'm getting a bit older and have seen it and done it before. The roller coasters looked pretty insane but didn't go on because I felt a bit unwell. Food was the usual theme park food: terrible fast food and soft drinks or water. Shops were so highly priced I didn't bother to buy anything-usual theme park though. I didn't feel it was anything that amazing, just another theme park! I've heard queues are bad on the weekend, I went during the week and they weren't bad. Like 10mins waiting for transformers ride.
",3,7 April 2017,April 2017,NoCountry,06
review_473312555,“Underwhelming but express pass is a must”,"I have been to Disneyland Paris and now Universal Studios Singapore and must say it pales in comparison to Disneyland Paris. Not much to do if you are with young kids but it is not a bad place by any means.Couple of things - Get lots of water as I had heard you get water but not once did I find a spot. We bought a long sipper due to which we could get an liquid refilled at no charge as long as we had that sipper. Also, get a hat and raincoat since the weather is fickle. Also please get an express pass as it will save loads of time and enable you to do most rides. Since we had planned to go to the SEA aquarium, we left at 3 pm from there otherwise we would have done all rides. You also have the option of re entry on the same day as they stamp you before you leave. You also get baby prams on rent for SGD 15 which is a bit steep but it serves the purpose.The gift shop at the start is also quite decent, not as many options as Disney but you can get lot of stuff nevertheless. You can buy and they give you the option of picking it from a drop off point so use that option to avoid carrying luggage.Now for the park - it is shaped like a big circle. You can start from the left which is Madagascar and take the water ride as well as get yourself clicked with the cast of Madagascar and do the merry go round if you have a child (this is something which was easier to do as compared with Disney). Then you go to Far Far Away or the land of Shrek where you can do the Shrek 4D ride and the Puss in Boots Adventure Ride. While the Shrek 4D takes almsot an hour, it is not as impressive so avoid if you are short on time. Do the Puss in Boots ride though as it is different and quite good.Then move to Jurassic park for the roundabouts, the water adventure and the roller coaster - all of which are good. After that you go to the land of Pharaohs, Egypt which has a roller coaster and an adventure ride.The to the transformer section where you can do the really scary roller coaster and the Transformers 7D ride which is basically the best ride in the park. This is a must. Avoid getting clicked by the photographers who charge a bomb for their photos but if you must then there is a parade at 3 pm which is in the Sesame street section which is after the transformers section and there you can get yourself clicked and later on printed as well. The Sesame Street portion has diners and is covered with a skylight so you can relax there.A suggestion here is that get the map via google, explore all rides on youtube and then see which ones you want to do and do them first when you get there This will save time alongwith the Express pass which reduces waiting time by 30 mins. Beware though that some rides are not covered under express pass so waiting is a must for them.Have fun but if you have been to Disneyland Paris then dont expect it to be at the same level.
",4,7 April 2017,March 2017,Kenya,06
review_473248702,“A fun family day”,"Our family (kids 3, 9, 11) spent most of the day at universal. We made sure we were there pretty much as it opened. The crowds built up as the day went on but ok early December it wasn't too busy. It was hot but not uncomfortably so. There were some line ups. The longest was probably 20 minutes so ok. Food, as you expect, wasn't cheap but ok.The kids all had a great day. By about 4pm we had done enough though.We took​ a stroller for the three year old and were very thankful that we did. Lots of walking for little legs.We had a few shots of rain so were glad of our rain ponchos.We had to do a bit of splitting up to keep all ages happy.Older kids loved the Shrek roller coaster best.
",4,7 April 2017,December 2016,Australia,02
review_473195014,“Most enjoyable!”,"It's a slice of America in the East! Expect long lines at the entrance, but beyond that, each zone had wait time warnings that gave a heads up if it would take a long time to get in. Plenty of food and entertainment, paradise for kids. Appropriate signages for topsy-turvy rides if you feel you want to keep your lunch down! The Egyptian mummy ride is awesome!
",5,6 April 2017,March 2017,India,04
review_473119722,“A day well spent!”,"I would recommend people to buy express tickets or take the Single entry wherever possible! The place has so much to offer you can just spend the whole day and still not be done with all the rides.
",5,6 April 2017,October 2016,India,06
review_473050908,“Worth going”,"There are long cues if u can afford to buy express tickets its worth it or else stand in a long cues for more than 30mins
",2,6 April 2017,April 2017,United Arab Emirates,03
review_473049510,“A great Theme park befits for a memorable visit at Universal.”,"Indeed a great and wonderful place to visit for great fun and memorable moments.Lots of interesting things to do and see. The activities there can last the whole day without you knowing, till you feel the tired legs after venturing through the many theme park areas. Only set back, expect big crowds and mass human jams when going for the rides especially on weekends...
",5,6 April 2017,October 2016,Malaysia,05
review_473047972,“GOOD family fun!”,"Our young family enjoyed the studios a lot. It's such an easy trip from the city ($12 cab) Here are a few tips. Midweek crowds are much more manageable. Try to avoid the weekend crush. The express pass is a MUST with young kids. Even on a moderately busy day, the queues were from 30mins to 1.5hrs for the Transformers ride (which was excellent). The pass is not cheap, but it allows you to bypass the queues almost entirely. In the hot weather, this makes a huge difference to the day's enjoyment. We managed to go on all the rides we wanted (12 of them) and left with smiles. The pass is cheaper off-peak (early in morning, or after lunch) and can be bought in many places around the park. Bring spare clothes for little ones (some rides are wet, and there is a small water fountain play area). You can fill up water bottles around the place. The locker system is an annoyance for some of the larger roller coasters. You have to check your bags before you ride. On busy days there is a locker queue. It's free for 2.5 hours so it might be an idea to check your bags and do the two largest rollercoasters first (Sci Fi world and Mummy World). 
",4,6 April 2017,April 2017,Australia,01
review_473020314,“Universal was a good day out”,"The highlight for me and my family was the Sesame Street Breakfast. This was definitely 5*!To enter Universal before it officially opens was an amazing feeling. We then went to breakfast where Cookie Monster led my youngest child to the buffet. The breakfast experience was amazing. The sesame street characters took their time with all groups and their staff assisted in taking photos for us. An amazing experience.After breakfast, Universal officially opened so we started to explore. My children's favourite ride was the Elmo one. Universal was fine but I expected more. I've been to Disneyland a few times and felt that Disneyland was run much better than this Universal. They could do so much more. It was a good day out but I wouldn't rush back to Universal Singapore
",4,6 April 2017,May 2016,Australia,03
review_472917961,“Exceptionally good”,"Try reaching there by 9 am and take transformer ride as the first ride..that is the best ride and has a lot of waiting period....keep map in hand and one can figure out the other sections as well.....a lot of activities are present and it's difficult to elaborate all here... Must visit if you are in Singapore..
",5,5 April 2017,September 2016,NoCountry,04
review_472896886,“Interesting disorganized and an over crowded adventure park”,"The park has interesting themes and exciting rides but the surging crowds was a put off. We spent about five hours here and could do just three events that lasted a total time of about 30 Mins.The rest was spent on standing in a queue awaiting our turn and searching for items of interest and eating in a restaurant. The Jurassic park theme was pretty good but the ride lasted just 6 minutes after a wait period of about 50 plus minutes. Madagascar also was good but fortunately the wait period was shorter. The question of whether the visit is worth the price is difficult to answer. All the themes are good. There are some that interests kids and some for teens and others for adults. Re- organizing the park with detailed information on the various themes and some brief summary of what can be seen or experienced plus a map of the park with directions and sign boards etc. and instructions would go a long way to help visitors to manage their time in the best possible manner inside the park, If these are already available they are obviously not available to every one. I was searching for the official website of Universal Studios for such information but could not find one. I could get only information provided by third party tour operators for this attraction.Paying extra for an express ticket to jump the queue was an option I was not very keen on. One jumps the queue encroaching the time from the standard ticket holder's time there by raising his/her time in the queue.An absorbing subject for a debate in ethics.
",3,5 April 2017,March 2017,NoCountry,06
review_472835559,“Exceeded Expectations”,"Arrive at opening and get your tickets online to get best value. We went mid week and had no queues until lunch time. The afternoon was ok but top experiences had 30-60 minutes lines. Even the oldies loved the Mummy and Battlestar Galactica....not too scary! Lots of food outlets around but don't expect too many bargains.
",5,5 April 2017,March 2017,Australia,06
review_472824384,“A fun experience!”,"Awesome time there. Takes you back in your younger days. Make sure you go early and spend enough time there. You do not want to miss the shows. The line gets quite long towards the end of the day.
",5,5 April 2017,October 2016,NoCountry,01
review_472813356,“One of a kind ”,"I thoroughly enjoyed this theme park. They have all the rides an amusement park needs. Great place to go with family and friends. Good for all ages. Though, for most of the rides we have to wait for 30 minutes, minimum. It's better to buy the fast pass, it made my trip more enjoyable.
",5,5 April 2017,April 2017,NoCountry,03
review_472805261,“Fun getaway with kids”,"Shouldn't miss the rides, and the foods. Queues are terrible but it's all worth it. Roller coaster and transformer are the best for me. Kids and adults will love the park itself
",5,5 April 2017,April 2017,NoCountry,04
review_472802850,“wonderful adventure park”,"wonderful adventure park to spend an entire day , although the place is crowded, yet it is worth the day ,transformers and mummy returns is a must experience ride. shrek is a lil boring.roller coaster takes you to another world, gives you an adrenaline rush altogether.
",5,5 April 2017,May 2016,NoCountry,04
review_472779527,“Loved it ”,"So much fun! Get there early to avoid big lines Felt like a pair of big kids the whole time we were there!
",5,5 April 2017,April 2017,United Kingdom,04
review_472689093,“Funny place”,"Intresting place to visit, especially if you are with kids. My recomendation is not to skip WaterWorld and Transformers. Quality of the food could and should be better. Maybe is ok for asian people, but for me who don't like asian food so much it is not good. I refuse to eat and wait to go outside to find some good place to eat. Ah, almost forget. Marlin Monroe perfomane was excellent, I like it so much.
",4,4 April 2017,April 2017,NoCountry,02
review_472680467,“Must do!”,"You cannot visit Singapore without going to Universal. The rides is amazing and there is something for everyone. We took our 2 year old and there is rides that he could do as well.
",5,4 April 2017,November 2016,South Africa,06
review_472562460,“Bad Experience to hard place”,"If you like to wait many hours with a very hot heat temperature too hot ...Very hard experience for usFor each attraction you queue on average Minimum 45 min and up to 2 hrs for an attraction that lasts only 1 to 4 minutes !!Lots of customers and park poorly managedThe staff not professional and not friendly10% of staff speak English
",1,4 April 2017,March 2017,Switzerland,04
