,6reviewer_country,8country,9country_mod
0,"Livingston, Scotland", Scotland,United Kingdom
1,No Value,No Value,No Value
2,"Taichung, Taiwan", Taiwan,Taiwan
3,"Mumbai (Bombay), India", India,India
4,"Meerut, India", India,India
5,No Value,No Value,No Value
6,"Bengaluru, India", India,India
7,"Singapore, Singapore", Singapore,Singapore
8,"Rochester, New York, United States", United States,United States
9,"Singapore, Singapore", Singapore,Singapore
10,Vietnam,Vietnam,Vietnam
11,No Value,No Value,No Value
12,No Value,No Value,No Value
13,"Chiltern, Australia", Australia,Australia
14,Bangalore,Bangalore,India
15,Singapore,Singapore,Singapore
16,"Hyderabad, India", India,India
17,No Value,No Value,No Value
18,"Panabo City, Philippines", Philippines,Philippines
19,"Victoria, Australia", Australia,Australia
20,"Singapore, Singapore", Singapore,Singapore
21,"NoCity, NoCountry", NoCountry,Norway
22,"Nairobi, Kenya", Kenya,Kenya
23,"Brisbane, Australia", Australia,Australia
24,"Secunderabad, India", India,India
25,"Lucknow, India", India,India
26,"Emirate of Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
27,"Kota Kinabalu, Malaysia", Malaysia,Malaysia
28,"Sydney, Australia", Australia,Australia
29,"Adelaide, Australia", Australia,Australia
30,No Value,No Value,No Value
31,Meerut,Meerut,India
32,"Gosford, Australia", Australia,Australia
33,No Value,No Value,No Value
34,No Value,No Value,No Value
35,"NoCity, NoCountry", NoCountry,Norway
36,No Value,No Value,No Value
37,"Newcastle upon Tyne, United Kingdom", United Kingdom,United Kingdom
38,No Value,No Value,No Value
39,"Cape Town Central, South Africa", South Africa,South Africa
40,"Geneva, Switzerland", Switzerland,Switzerland
41,"Singapore, Singapore", Singapore,Singapore
42,No Value,No Value,No Value
43,"Melbourne, Australia", Australia,Australia
44,"Doha, Qatar", Qatar,Qatar
45,"Zaragoza, Spain", Spain,Spain
46,No Value,No Value,No Value
47,"Santiago, Chile", Chile,Chile
48,No Value,No Value,No Value
49,"NoCity, NoCountry", NoCountry,Norway
50,"Perth, Australia", Australia,Australia
51,"Moscow, Russia", Russia,Russia
52,"Chennai (Madras), India", India,India
53,No Value,No Value,No Value
54,"Darwin, Australia", Australia,Australia
55,No Value,No Value,No Value
56,"Jakarta, Indonesia", Indonesia,Indonesia
57,No Value,No Value,No Value
58,"Petaling Jaya, Malaysia", Malaysia,Malaysia
59,"Singapore, Singapore", Singapore,Singapore
60,"Chennai (Madras), India", India,India
61,"Chandigarh, India", India,India
62,No Value,No Value,No Value
63,"Sydney, Australia", Australia,Australia
64,"Mumbai (Bombay), India", India,India
65,"Gold Coast, Australia", Australia,Australia
66,"Liverpool, United Kingdom", United Kingdom,United Kingdom
67,No Value,No Value,No Value
68,"Makassar, Indonesia", Indonesia,Indonesia
69,"Mumbai (Bombay), India", India,India
70,"Mumbai (Bombay), India", India,India
71,No Value,No Value,No Value
72,"Mumbai (Bombay), India", India,India
73,"Bunbury, Australia", Australia,Australia
74,"Malmo, Sweden", Sweden,Sweden
75,Bildeston,Bildeston,United Kingdom
76,Ranchi,Ranchi,India
77,No Value,No Value,No Value
78,No Value,No Value,No Value
79,No Value,No Value,No Value
80,"Bengaluru, India", India,India
81,"Los Angeles, California", California,United States
82,"Perth, Australia", Australia,Australia
83,mumbai,mumbai,India
84,No Value,No Value,No Value
85,"Perth, Australia", Australia,Australia
86,"Adelaide, Australia", Australia,Australia
87,No Value,No Value,No Value
88,"Surabaya, Indonesia", Indonesia,Indonesia
89,No Value,No Value,No Value
90,No Value,No Value,No Value
91,"Skelleftea, Sweden", Sweden,Sweden
92,"Adelaide, Australia", Australia,Australia
93,"Hyderabad, India", India,India
94,"Batemans Bay, Australia", Australia,Australia
95,"Singapore, null, Singapore", Singapore,Singapore
96,"Singapore, Singapore", Singapore,Singapore
97,"Chiang Rai, Thailand", Thailand,Thailand
98,"Gurugram (Gurgaon), India", India,India
99,No Value,No Value,No Value
100,"Launceston, Australia", Australia,Australia
101,No Value,No Value,No Value
102,"Chester, England, United Kingdom", United Kingdom,United Kingdom
103,"Bengaluru, India", India,India
104,"Antwerp Province, Belgium", Belgium,Belgium
105,"Mumbai (Bombay), India", India,India
106,No Value,No Value,No Value
107,Philippines,Philippines,Philippines
108,Bekasi,Bekasi,Indonesia
109,"Singapore, Singapore", Singapore,Singapore
110,No Value,No Value,No Value
111,No Value,No Value,No Value
112,"The Woodlands, Texas", Texas,United States
113,"New Delhi, India", India,India
114,"Port Douglas, Australia", Australia,Australia
115,"Singapore, Singapore", Singapore,Singapore
116,"NoCity, NoCountry", NoCountry,Norway
117,No Value,No Value,No Value
118,No Value,No Value,No Value
119,No Value,No Value,No Value
120,No Value,No Value,No Value
121,"Quezon City, Philippines", Philippines,Philippines
122,New York,New York,United States
123,No Value,No Value,No Value
124,"New Delhi, India", India,India
125,"Ho Chi Minh City, Vietnam", Vietnam,Vietnam
126,"Perth, Australia", Australia,Australia
127,No Value,No Value,No Value
128,No Value,No Value,No Value
129,"Lahore, Pakistan", Pakistan,Pakistan
130,Sydney,Sydney,Australia
131,"Dubai, United Arab Emirates", United Arab Emirates,United Arab Emirates
132,"Ho Chi Minh City, Vietnam", Vietnam,Vietnam
133,No Value,No Value,No Value
134,"Mumbai (Bombay), India", India,India
135,"Jakarta, Indonesia", Indonesia,Indonesia
136,"Brooklyn, NY", NY,United States
137,No Value,No Value,No Value
138,No Value,No Value,No Value
139,No Value,No Value,No Value
140,Singapore,Singapore,Singapore
141,"Blue Mountains, Australia", Australia,Australia
142,"Wisbech, United Kingdom", United Kingdom,United Kingdom
143,"Singapore, Singapore", Singapore,Singapore
144,Aurangabad,Aurangabad,India
145,"Singapore, Singapore", Singapore,Singapore
146,"Singapore, Singapore", Singapore,Singapore
147,"Singapore, Singapore", Singapore,Singapore
148,"Mandaluyong, Philippines", Philippines,Philippines
149,"Manila, Philippines", Philippines,Philippines
150,"New Delhi, India", India,India
151,No Value,No Value,No Value
152,No Value,No Value,No Value
153,"Riyadh, Saudi Arabia", Saudi Arabia,Saudi Arabia
154,"Kununurra, Western Australia, Australia", Australia,Australia
155,No Value,No Value,No Value
156,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
157,"Mumbai (Bombay), India", India,India
158,No Value,No Value,No Value
159,"New Germany, Minnesota", Minnesota,United States
160,No Value,No Value,No Value
161,"Pune, India", India,India
162,Blackpool,Blackpool,United Kingdom
163,Singapore,Singapore,Singapore
164,No Value,No Value,No Value
165,No Value,No Value,No Value
166,"Mumbai (Bombay), India", India,India
167,"Bandung, Indonesia", Indonesia,Indonesia
168,"Calamba, Philippines", Philippines,Philippines
169,No Value,No Value,No Value
170,"Manila, Philippines", Philippines,Philippines
171,"Cavite City, Philippines", Philippines,Philippines
172,"Singapore, Singapore", Singapore,Singapore
173,"Sydney, New South Wales, Australia", Australia,Australia
174,"Basel, Switzerland", Switzerland,Switzerland
175,No Value,No Value,No Value
176,Durban,Durban,South Africa
177,"Denpasar, Indonesia", Indonesia,Indonesia
178,No Value,No Value,No Value
179,"Auckland Region, New Zealand", New Zealand,New Zealand
180,"Melbourne, Australia", Australia,Australia
181,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
182,"Gosford, Australia", Australia,Australia
183,"Perth, Australia", Australia,Australia
184,"Fuente de Piedra, Andalucia, Spain", Spain,Spain
185,"London, United Kingdom", United Kingdom,United Kingdom
186,"Weston, United States", United States,United States
187,"New Delhi, Delhi, India", India,India
188,No Value,No Value,No Value
189,UK,UK,United Kingdom
190,"Ho Chi Minh City, Vietnam", Vietnam,Vietnam
191,Raipur,Raipur,India
192,No Value,No Value,No Value
193,"Mount Gambier, Australia", Australia,Australia
194,"Jakarta, Indonesia", Indonesia,Indonesia
195,"Perth, Australia", Australia,Australia
196,"Melbourne, Australia", Australia,Australia
197,"Melbourne, Australia", Australia,Australia
198,"Perth, Australia", Australia,Australia
199,Noida,Noida,India
200,No Value,No Value,No Value
201,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
202,No Value,No Value,No Value
203,"Makati, Philippines", Philippines,Philippines
204,No Value,No Value,No Value
205,merseyside,merseyside,United Kingdom
206,"Perth, Australia", Australia,Australia
207,No Value,No Value,No Value
208,"Ho Chi Minh City, Vietnam", Vietnam,Vietnam
209,No Value,No Value,No Value
210,"Ahmedabad, India", India,India
211,"Melbourne, Australia", Australia,Australia
212,No Value,No Value,No Value
213,"Bangkok, Thailand", Thailand,Thailand
214,"Chandigarh, India", India,India
215,Iowa,Iowa,United States
216,No Value,No Value,No Value
217,"Quezon City, Philippines", Philippines,Philippines
218,"Mandaue, Philippines", Philippines,Philippines
219,No Value,No Value,No Value
220,No Value,No Value,No Value
221,"Shanghai, China", China,China
222,"NoCity, NoCountry", NoCountry,Norway
223,"Canberra, Australia", Australia,Australia
224,"Christchurch, New Zealand", New Zealand,New Zealand
225,"Mumbai (Bombay), India", India,India
226,"New Delhi, India", India,India
227,No Value,No Value,No Value
228,"Kuala Lumpur, Malaysia", Malaysia,Malaysia
229,"London, United Kingdom", United Kingdom,United Kingdom
230,"Cairns, Queensland, Australia", Australia,Australia
231,No Value,No Value,No Value
232,No Value,No Value,No Value
233,No Value,No Value,No Value
234,No Value,No Value,No Value
235,"Perth, Australia", Australia,Australia
236,"Singapore, Singapore", Singapore,Singapore
237,"Ballarat, Australia", Australia,Australia
238,No Value,No Value,No Value
239,"New Delhi, India", India,India
240,"Auckland, New Zealand", New Zealand,New Zealand
241,"Perth, Australia", Australia,Australia
242,No Value,No Value,No Value
243,No Value,No Value,No Value
244,"London, United Kingdom", United Kingdom,United Kingdom
245,"Colombo, Sri Lanka", Sri Lanka,Sri Lanka
246,"Gurgaon, Haryana, India", India,India
247,"Glenbrook, Australia", Australia,Australia
248,"Zug, Switzerland", Switzerland,Switzerland
249,"New Delhi, India", India,India
250,"Madiun, Indonesia", Indonesia,Indonesia
251,"Port Macquarie, Australia", Australia,Australia
252,"Surrey, United Kingdom", United Kingdom,United Kingdom
253,"Leeds, United Kingdom", United Kingdom,United Kingdom
254,No Value,No Value,No Value
255,No Value,No Value,No Value
256,No Value,No Value,No Value
257,"Perth, Australia", Australia,Australia
258,"Singapore, Singapore", Singapore,Singapore
259,No Value,No Value,No Value
260,No Value,No Value,No Value
261,"Kolkata (Calcutta), India", India,India
262,"Mumbai (Bombay), India", India,India
263,"Wellington, New Zealand", New Zealand,New Zealand
264,No Value,No Value,No Value
265,Jamshedpur,Jamshedpur,India
266,"Montrose, United Kingdom", United Kingdom,United Kingdom
267,"New Delhi, India", India,India
268,No Value,No Value,No Value
269,"Perth, Australia", Australia,Australia
270,"Makassar, Indonesia", Indonesia,Indonesia
271,"Denpasar, Indonesia", Indonesia,Indonesia
272,"Auckland Region, New Zealand", New Zealand,New Zealand
273,No Value,No Value,No Value
